,child_name,same_num_trials,Trials_onset,Trials_offset,Looks_ordinal,Looks_onset,Looks_offset,Looks_direction,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff,ID.session,Looks.ordinal,Looks.onset,Looks.offset,Looks.direction,Trials.ordinal,Trials.onset,Trials.offset,Trials.x,Unnamed: 16
0,QG2TTS,True,,,,,,,46308.0,5236.000000000001,50296.00000000001,45060.00000000001,-1247.9999999999927,-67.99999999999909,-1315.9999999999927,,0.0,26316.0,27710.0,off,0.0,5304.0,51612.0,f,
1,QG2TTS,True,,,,,,,45492.0,55123.00000000001,100190.00000000001,45067.00000000001,-424.9999999999927,-840.9999999999927,-1265.9999999999854,,1.0,30000.0,31588.0,off,1.0,55964.0,101456.0,f,
2,QG2TTS,True,,,,,,,35088.0,105057.0,139168.0,34111.0,-977.0,-411.0,-1388.0,,2.0,69904.0,71264.0,off,2.0,105468.0,140556.0,f,
3,QG2TTS,True,,,,,,,32640.0,144007.0,175696.0,31689.0,-951.0,-289.0,-1240.0,,3.0,94078.0,96662.0,off,3.0,144296.0,176936.0,f,
4,QG2TTS,True,,,,,,,21352.0,180586.0,201174.0,20588.0,-764.0,-260.0,-1024.0,,4.0,123658.0,127908.0,off,4.0,180846.0,202198.0,f,
5,QG2TTS,True,,,,,,,40018.0,205873.00000000003,245074.0,39200.99999999997,-817.0000000000291,-166.9999999999709,-984.0,,5.0,135660.0,140760.0,off,5.0,206040.0,246058.0,f,
6,QG2TTS,True,,,,,,,28996.0,249935.0,278241.00000000006,28306.00000000006,-689.9999999999418,-169.0,-858.9999999999418,,6.0,159562.0,163744.0,off,6.0,250104.0,279100.0,f,
7,QG2TTS,True,,,,,,,28050.0,283087.00000000006,309869.0,26781.99999999994,-1268.0000000000582,37.00000000005821,-1231.0,,7.0,172142.0,177174.0,off,7.0,283050.0,311100.0,f,
8,QG2TTS,True,,,,,,,10200.0,312347.00000000006,322853.0,10505.999999999942,305.9999999999418,-1336.9999999999418,-1031.0,,8.0,187204.0,191352.0,off,8.0,313684.0,323884.0,t,
9,QG2TTS,True,,,,,,,8398.0,325259.0,333465.00000000006,8206.000000000058,-191.9999999999418,-733.0,-924.9999999999418,,9.0,194616.0,196384.0,off,9.0,325992.0,334390.0,t,
10,QG2TTS,True,,,,,,,10506.0,335626.00000000006,345249.0,9622.999999999942,-883.0000000000582,12.000000000058208,-871.0,,10.0,198152.0,202334.0,off,10.0,335614.0,346120.0,t,
11,QG2TTS,True,,,,,,,17340.0,347383.00000000006,364169.00000000006,16786.0,-554.0,-164.9999999999418,-718.9999999999418,,11.0,214438.0,218110.0,off,11.0,347548.0,364888.0,t,
12,QG2TTS,True,,,,,,,6358.0,379303.0,386157.00000000006,6854.000000000058,496.0000000000582,-1463.0,-966.9999999999418,,12.0,224774.0,225522.0,off,12.0,380766.0,387124.0,t,
13,QG2TTS,True,,,,,,,11215.0,388360.0,399660.0,11300.0,85.0,-226.0,-141.0,,13.0,233444.0,237048.0,off,13.0,388586.0,399801.0,t,
0,BMYAFZ,True,,,,,,,41471.0,5348.000000000001,47297.00000000001,41949.00000000001,478.0000000000073,-3627.999999999999,-3149.9999999999927,1.0,0.0,30709.0,35475.0,off,0.0,8976.0,50447.0,f,
1,BMYAFZ,True,,,,,,,39468.0,51949.00000000001,92382.0,40432.99999999999,964.9999999999927,-4513.999999999993,-3549.0,,1.0,43581.0,50447.0,off,1.0,56463.0,95931.0,f,
2,BMYAFZ,True,,,,,,,26994.0,97315.00000000001,125148.00000000001,27833.0,839.0,-3334.9999999999854,-2495.9999999999854,,2.0,88454.0,92598.0,e,2.0,100650.0,127644.0,f,
3,BMYAFZ,True,,,,,,,24024.0,129810.0,155088.00000000003,25278.00000000003,1254.000000000029,-3840.0,-2585.999999999971,,3.0,120872.0,127644.0,off,3.0,133650.0,157674.0,f,
4,BMYAFZ,True,,,,,,,24750.0,160030.0,185801.00000000003,25771.00000000003,1021.0000000000291,-3584.0,-2562.999999999971,,4.0,152988.0,157674.0,off,4.0,163614.0,188364.0,f,
5,BMYAFZ,True,,,,,,,11880.0,190431.0,204187.0,13756.0,1876.0,-4236.0,-2360.0,,5.0,170313.0,171162.0,off,5.0,194667.0,206547.0,f,
6,BMYAFZ,True,,,,,,,12804.0,208830.0,220652.00000000003,11822.00000000003,-981.9999999999709,-2040.0,-3021.999999999971,,6.0,184008.0,188364.0,off,6.0,210870.0,223674.0,f,
7,BMYAFZ,True,,,,,,,8613.0,223279.00000000003,232636.00000000003,9357.0,744.0,-2605.999999999971,-1861.999999999971,,7.0,201630.0,206547.0,off,7.0,225885.0,234498.0,t,
8,BMYAFZ,True,,,,,,,13002.0,235185.0,246302.00000000003,11117.00000000003,-1884.999999999971,-2184.0,-4068.999999999971,,8.0,218658.0,221826.0,off,8.0,237369.0,250371.0,t,
9,BMYAFZ,True,,,,,,,15708.0,258571.00000000003,273741.00000000006,15170.00000000003,-537.9999999999709,-2326.999999999971,-2864.999999999942,,9.0,230439.0,234498.0,off,9.0,260898.0,276606.0,t,
10,BMYAFZ,True,,,,,,,7824.0,275709.0,285971.0,10262.0,2438.0,-2448.0,-10.0,,10.0,243870.0,247104.0,off,10.0,278157.0,285981.0,t,
0,cZM66C,True,,,,,,,46125.0,6936.000000000001,52279.0,45343.0,-782.0,311.0000000000009,-471.0,1.0,0.0,19000.0,20750.0,off,0.0,6625.0,52750.0,f,
1,cZM66C,True,,,,,,,45875.0,57551.0,102819.0,45268.0,-607.0,-449.0,-1056.0,,1.0,27625.0,29375.0,off,1.0,58000.0,103875.0,f,
2,cZM66C,True,,,,,,,38000.0,108274.0,145652.00000000003,37378.00000000003,-621.9999999999709,-101.0,-722.9999999999709,,2.0,32125.0,34500.0,off,2.0,108375.0,146375.0,f,
3,cZM66C,True,,,,,,,38000.0,150892.0,188248.00000000003,37356.00000000003,-643.9999999999709,-358.0,-1001.9999999999709,,3.0,45000.0,47750.0,off,3.0,151250.0,189250.0,f,
4,cZM66C,True,,,,,,,37125.0,194291.00000000003,230867.00000000003,36576.0,-549.0,41.000000000029104,-507.9999999999709,,4.0,82000.0,84250.0,off,4.0,194250.0,231375.0,f,
5,cZM66C,True,,,,,,,12250.0,235967.0,247618.00000000003,11651.00000000003,-598.9999999999709,-408.0,-1006.9999999999709,,5.0,144000.0,146375.0,off,5.0,236375.0,248625.0,f,
6,cZM66C,True,,,,,,,15000.0,252692.0,266972.00000000006,14280.000000000058,-719.9999999999418,-308.0,-1027.9999999999418,,6.0,186125.0,188500.0,off,6.0,253000.0,268000.0,f,
7,cZM66C,True,,,,,,,14625.0,271360.0,283261.0,11901.0,-2724.0,1610.0,-1114.0,,7.0,217166.0,222125.0,off,7.0,269750.0,284375.0,t,
8,cZM66C,True,,,,,,,30000.0,286067.0,315173.0,29106.0,-894.0,567.0,-327.0,,8.0,230000.0,231375.0,off,8.0,285500.0,315500.0,t,
9,cZM66C,True,,,,,,,12000.0,335182.0,346564.0,11382.0,-618.0,182.0,-436.0,,9.0,246250.0,248625.0,off,9.0,335000.0,347000.0,t,
10,cZM66C,True,,,,,,,9692.0,349140.00000000006,359229.00000000006,10089.0,397.0,15.000000000058208,412.0000000000582,,10.0,265875.0,268000.0,off,10.0,349125.0,358817.0,t,
1,RKN6KW,False,5412.0,39071.0,2.0,5412.0,17093.0,y,33659.0,41486.00000000001,86555.0,45068.99999999999,11409.999999999993,36074.00000000001,47484.0,,,,,,,,,,
2,RKN6KW,False,5412.0,39071.0,3.0,17094.0,20855.0,n,33659.0,92748.0,122554.0,29806.0,-3853.0,87336.0,83483.0,,,,,,,,,,
3,RKN6KW,False,5412.0,39071.0,4.0,20856.0,39071.0,y,33659.0,125166.00000000001,170235.0,45068.999999999985,11409.999999999985,119754.00000000001,131164.0,,,,,,,,,,
4,RKN6KW,False,39072.0,87977.0,5.0,39072.0,62039.0,y,48905.0,180387.0,212858.0,32471.0,-16434.0,141315.0,124881.0,,,,,,,,,,
5,RKN6KW,False,39072.0,87977.0,6.0,62040.0,64679.0,n,48905.0,218360.0,263456.0,45096.0,-3809.0,179288.0,175479.0,,,,,,,,,,
6,RKN6KW,False,39072.0,87977.0,7.0,64680.0,72137.0,y,48905.0,269407.00000000006,307344.0,37936.99999999994,-10968.000000000058,230335.00000000006,219367.0,,,,,,,,,,
7,RKN6KW,False,39072.0,87977.0,8.0,72138.0,77549.0,n,48905.0,314788.0,359997.0,45209.0,-3696.0,275716.0,272020.0,,,,,,,,,,
8,RKN6KW,False,39072.0,87977.0,9.0,77550.0,80981.0,y,48905.0,,,,,,,,,,,,,,,,
9,RKN6KW,False,39072.0,87977.0,10.0,80982.0,83357.0,n,48905.0,,,,,,,,,,,,,,,,
10,RKN6KW,False,39072.0,87977.0,11.0,83358.0,87977.0,y,48905.0,,,,,,,,,,,,,,,,
12,RKN6KW,False,91542.0,124013.0,13.0,91542.0,109097.0,y,32471.0,,,,,,,,,,,,,,,,
13,RKN6KW,False,91542.0,124013.0,14.0,109098.0,110879.0,n,32471.0,,,,,,,,,,,,,,,,
14,RKN6KW,False,91542.0,124013.0,15.0,110880.0,111803.0,y,32471.0,,,,,,,,,,,,,,,,
15,RKN6KW,False,91542.0,124013.0,16.0,111804.0,113453.0,n,32471.0,,,,,,,,,,,,,,,,
16,RKN6KW,False,91542.0,124013.0,17.0,113454.0,118667.0,y,32471.0,,,,,,,,,,,,,,,,
17,RKN6KW,False,91542.0,124013.0,18.0,118668.0,121505.0,n,32471.0,,,,,,,,,,,,,,,,
18,RKN6KW,False,91542.0,124013.0,19.0,121506.0,124013.0,y,32471.0,,,,,,,,,,,,,,,,
19,RKN6KW,False,124014.0,171929.0,20.0,124014.0,131405.0,y,47915.0,,,,,,,,,,,,,,,,
20,RKN6KW,False,124014.0,171929.0,21.0,131406.0,133253.0,n,47915.0,,,,,,,,,,,,,,,,
21,RKN6KW,False,124014.0,171929.0,22.0,133254.0,139523.0,y,47915.0,,,,,,,,,,,,,,,,
22,RKN6KW,False,124014.0,171929.0,23.0,139524.0,140117.0,n,47915.0,,,,,,,,,,,,,,,,
23,RKN6KW,False,124014.0,171929.0,24.0,140118.0,141437.0,y,47915.0,,,,,,,,,,,,,,,,
24,RKN6KW,False,124014.0,171929.0,25.0,141438.0,144341.0,n,47915.0,,,,,,,,,,,,,,,,
25,RKN6KW,False,124014.0,171929.0,26.0,144342.0,160643.0,y,47915.0,,,,,,,,,,,,,,,,
26,RKN6KW,False,124014.0,171929.0,27.0,160644.0,163349.0,n,47915.0,,,,,,,,,,,,,,,,
27,RKN6KW,False,124014.0,171929.0,28.0,163350.0,165065.0,y,47915.0,,,,,,,,,,,,,,,,
28,RKN6KW,False,124014.0,171929.0,29.0,165066.0,166385.0,n,47915.0,,,,,,,,,,,,,,,,
29,RKN6KW,False,124014.0,171929.0,30.0,166386.0,169157.0,y,47915.0,,,,,,,,,,,,,,,,
30,RKN6KW,False,124014.0,171929.0,31.0,169158.0,171005.0,n,47915.0,,,,,,,,,,,,,,,,
31,RKN6KW,False,124014.0,171929.0,32.0,171006.0,171929.0,y,47915.0,,,,,,,,,,,,,,,,
33,RKN6KW,False,179982.0,214037.0,34.0,179982.0,194699.0,y,34055.0,,,,,,,,,,,,,,,,
34,RKN6KW,False,179982.0,214037.0,35.0,194700.0,195755.0,n,34055.0,,,,,,,,,,,,,,,,
35,RKN6KW,False,179982.0,214037.0,36.0,195756.0,198263.0,y,34055.0,,,,,,,,,,,,,,,,
36,RKN6KW,False,179982.0,214037.0,37.0,198264.0,200507.0,n,34055.0,,,,,,,,,,,,,,,,
37,RKN6KW,False,179982.0,214037.0,38.0,200508.0,205523.0,y,34055.0,,,,,,,,,,,,,,,,
38,RKN6KW,False,179982.0,214037.0,39.0,205524.0,207899.0,n,34055.0,,,,,,,,,,,,,,,,
39,RKN6KW,False,179982.0,214037.0,40.0,207900.0,210605.0,y,34055.0,,,,,,,,,,,,,,,,
40,RKN6KW,False,179982.0,214037.0,41.0,210606.0,212453.0,n,34055.0,,,,,,,,,,,,,,,,
41,RKN6KW,False,179982.0,214037.0,42.0,212454.0,214037.0,y,34055.0,,,,,,,,,,,,,,,,
42,RKN6KW,False,214038.0,264659.0,43.0,214038.0,235619.0,y,50621.0,,,,,,,,,,,,,,,,
43,RKN6KW,False,214038.0,264659.0,44.0,235620.0,236873.0,n,50621.0,,,,,,,,,,,,,,,,
44,RKN6KW,False,214038.0,264659.0,45.0,236874.0,246311.0,y,50621.0,,,,,,,,,,,,,,,,
45,RKN6KW,False,214038.0,264659.0,46.0,246312.0,250733.0,n,50621.0,,,,,,,,,,,,,,,,
46,RKN6KW,False,214038.0,264659.0,47.0,250734.0,252383.0,y,50621.0,,,,,,,,,,,,,,,,
47,RKN6KW,False,214038.0,264659.0,48.0,252384.0,260501.0,n,50621.0,,,,,,,,,,,,,,,,
48,RKN6KW,False,214038.0,264659.0,49.0,260502.0,264659.0,y,50621.0,,,,,,,,,,,,,,,,
50,RKN6KW,False,269016.0,309143.0,51.0,269016.0,277463.0,y,40127.0,,,,,,,,,,,,,,,,
51,RKN6KW,False,269016.0,309143.0,52.0,277464.0,278255.0,n,40127.0,,,,,,,,,,,,,,,,
52,RKN6KW,False,269016.0,309143.0,53.0,278256.0,284855.0,y,40127.0,,,,,,,,,,,,,,,,
53,RKN6KW,False,269016.0,309143.0,54.0,284856.0,288089.0,n,40127.0,,,,,,,,,,,,,,,,
54,RKN6KW,False,269016.0,309143.0,55.0,288090.0,300233.0,y,40127.0,,,,,,,,,,,,,,,,
55,RKN6KW,False,269016.0,309143.0,56.0,300234.0,308021.0,n,40127.0,,,,,,,,,,,,,,,,
56,RKN6KW,False,269016.0,309143.0,57.0,308022.0,309143.0,y,40127.0,,,,,,,,,,,,,,,,
57,RKN6KW,False,309144.0,361481.0,58.0,309144.0,343397.0,y,52337.0,,,,,,,,,,,,,,,,
58,RKN6KW,False,309144.0,361481.0,59.0,343398.0,346037.0,n,52337.0,,,,,,,,,,,,,,,,
59,RKN6KW,False,309144.0,361481.0,60.0,346038.0,359303.0,y,52337.0,,,,,,,,,,,,,,,,
60,RKN6KW,False,309144.0,361481.0,61.0,359304.0,360161.0,n,52337.0,,,,,,,,,,,,,,,,
61,RKN6KW,False,309144.0,361481.0,62.0,360162.0,361481.0,y,52337.0,,,,,,,,,,,,,,,,
1,FCKcA5,False,5405.0,37637.0,2.0,5405.0,13191.0,y,32232.0,38440.00000000001,83495.0,45054.99999999999,12822.999999999993,33035.00000000001,45858.0,,,,,,,,,,
2,FCKcA5,False,5405.0,37637.0,3.0,13192.0,17033.0,n,32232.0,88560.0,118349.0,29789.0,-2443.0,83155.0,80712.0,,,,,,,,,,
3,FCKcA5,False,5405.0,37637.0,4.0,17034.0,33999.0,y,32232.0,120592.00000000001,165641.00000000003,45049.000000000015,12817.000000000015,115187.00000000001,128004.00000000003,,,,,,,,,,
4,FCKcA5,False,5405.0,37637.0,5.0,34000.0,35223.0,n,32232.0,186179.0,218610.0,32431.0,199.0,180774.0,180973.0,,,,,,,,,,
5,FCKcA5,False,5405.0,37637.0,6.0,35224.0,36583.0,y,32232.0,220854.0,265901.0,45047.0,12815.0,215449.0,228264.0,,,,,,,,,,
6,FCKcA5,False,5405.0,37637.0,7.0,36584.0,37637.0,n,32232.0,270857.0,308789.00000000006,37932.00000000006,5700.000000000058,265452.0,271152.00000000006,,,,,,,,,,
7,FCKcA5,False,37638.0,84965.0,8.0,37638.0,44131.0,y,47327.0,311092.00000000006,356171.00000000006,45079.0,-2248.0,273454.00000000006,271206.00000000006,,,,,,,,,,
8,FCKcA5,False,37638.0,84965.0,9.0,44132.0,49673.0,n,47327.0,372517.0,403502.0,30985.0,-16342.0,334879.0,318537.0,,,,,,,,,,
9,FCKcA5,False,37638.0,84965.0,10.0,49674.0,57629.0,y,47327.0,405779.00000000006,450842.00000000006,45063.0,-2264.0,368141.00000000006,365877.00000000006,,,,,,,,,,
10,FCKcA5,False,37638.0,84965.0,11.0,57630.0,59601.0,n,47327.0,455647.00000000006,485430.0,29782.99999999994,-17544.00000000006,418009.00000000006,400465.0,,,,,,,,,,
11,FCKcA5,False,37638.0,84965.0,12.0,59602.0,67727.0,y,47327.0,487644.0,532702.0,45058.0,-2269.0,450006.0,447737.0,,,,,,,,,,
12,FCKcA5,False,37638.0,84965.0,13.0,67728.0,68475.0,n,47327.0,,,,,,,,,,,,,,,,
13,FCKcA5,False,37638.0,84965.0,14.0,68476.0,78029.0,y,47327.0,,,,,,,,,,,,,,,,
14,FCKcA5,False,37638.0,84965.0,15.0,78030.0,78913.0,n,47327.0,,,,,,,,,,,,,,,,
15,FCKcA5,False,37638.0,84965.0,16.0,78914.0,84965.0,y,47327.0,,,,,,,,,,,,,,,,
17,FCKcA5,False,88944.0,119713.0,18.0,88944.0,101421.0,y,30769.0,,,,,,,,,,,,,,,,
18,FCKcA5,False,88944.0,119713.0,19.0,101422.0,105501.0,n,30769.0,,,,,,,,,,,,,,,,
19,FCKcA5,False,88944.0,119713.0,20.0,105502.0,118047.0,y,30769.0,,,,,,,,,,,,,,,,
20,FCKcA5,False,88944.0,119713.0,21.0,118048.0,119713.0,n,30769.0,,,,,,,,,,,,,,,,
21,FCKcA5,False,119714.0,175201.0,22.0,119714.0,129845.0,y,55487.0,,,,,,,,,,,,,,,,
22,FCKcA5,False,119714.0,175201.0,23.0,129846.0,130933.0,n,55487.0,,,,,,,,,,,,,,,,
23,FCKcA5,False,119714.0,175201.0,24.0,130934.0,138515.0,y,55487.0,,,,,,,,,,,,,,,,
24,FCKcA5,False,119714.0,175201.0,25.0,138516.0,139977.0,n,55487.0,,,,,,,,,,,,,,,,
25,FCKcA5,False,119714.0,175201.0,26.0,139978.0,144567.0,y,55487.0,,,,,,,,,,,,,,,,
26,FCKcA5,False,119714.0,175201.0,27.0,144568.0,147831.0,n,55487.0,,,,,,,,,,,,,,,,
27,FCKcA5,False,119714.0,175201.0,28.0,147832.0,150007.0,y,55487.0,,,,,,,,,,,,,,,,
28,FCKcA5,False,119714.0,175201.0,29.0,150008.0,152013.0,n,55487.0,,,,,,,,,,,,,,,,
29,FCKcA5,False,119714.0,175201.0,30.0,152014.0,156025.0,y,55487.0,,,,,,,,,,,,,,,,
30,FCKcA5,False,119714.0,175201.0,31.0,156026.0,158133.0,n,55487.0,,,,,,,,,,,,,,,,
31,FCKcA5,False,119714.0,175201.0,32.0,158134.0,160003.0,y,55487.0,,,,,,,,,,,,,,,,
32,FCKcA5,False,119714.0,175201.0,33.0,160004.0,162927.0,n,55487.0,,,,,,,,,,,,,,,,
33,FCKcA5,False,119714.0,175201.0,34.0,162928.0,165851.0,y,55487.0,,,,,,,,,,,,,,,,
34,FCKcA5,False,119714.0,175201.0,35.0,165852.0,167687.0,n,55487.0,,,,,,,,,,,,,,,,
35,FCKcA5,False,119714.0,175201.0,36.0,167688.0,173909.0,y,55487.0,,,,,,,,,,,,,,,,
36,FCKcA5,False,119714.0,175201.0,37.0,173910.0,175201.0,n,55487.0,,,,,,,,,,,,,,,,
38,FCKcA5,False,179928.0,221067.0,39.0,179928.0,185197.0,y,41139.0,,,,,,,,,,,,,,,,
39,FCKcA5,False,179928.0,221067.0,40.0,185198.0,187577.0,n,41139.0,,,,,,,,,,,,,,,,
40,FCKcA5,False,179928.0,221067.0,41.0,187578.0,197539.0,y,41139.0,,,,,,,,,,,,,,,,
41,FCKcA5,False,179928.0,221067.0,42.0,197540.0,198729.0,n,41139.0,,,,,,,,,,,,,,,,
42,FCKcA5,False,179928.0,221067.0,43.0,198730.0,202299.0,y,41139.0,,,,,,,,,,,,,,,,
43,FCKcA5,False,179928.0,221067.0,44.0,202300.0,204373.0,n,41139.0,,,,,,,,,,,,,,,,
44,FCKcA5,False,179928.0,221067.0,45.0,204374.0,208589.0,y,41139.0,,,,,,,,,,,,,,,,
45,FCKcA5,False,179928.0,221067.0,46.0,208590.0,210187.0,n,41139.0,,,,,,,,,,,,,,,,
46,FCKcA5,False,179928.0,221067.0,47.0,210188.0,213179.0,y,41139.0,,,,,,,,,,,,,,,,
47,FCKcA5,False,179928.0,221067.0,48.0,213180.0,215389.0,n,41139.0,,,,,,,,,,,,,,,,
48,FCKcA5,False,179928.0,221067.0,49.0,215390.0,221067.0,y,41139.0,,,,,,,,,,,,,,,,
49,FCKcA5,False,221068.0,268089.0,50.0,221068.0,226201.0,y,47021.0,,,,,,,,,,,,,,,,
50,FCKcA5,False,221068.0,268089.0,51.0,226202.0,227799.0,n,47021.0,,,,,,,,,,,,,,,,
51,FCKcA5,False,221068.0,268089.0,52.0,227800.0,234939.0,y,47021.0,,,,,,,,,,,,,,,,
52,FCKcA5,False,221068.0,268089.0,53.0,234940.0,236537.0,n,47021.0,,,,,,,,,,,,,,,,
53,FCKcA5,False,221068.0,268089.0,54.0,236538.0,242011.0,y,47021.0,,,,,,,,,,,,,,,,
54,FCKcA5,False,221068.0,268089.0,55.0,242012.0,243847.0,n,47021.0,,,,,,,,,,,,,,,,
55,FCKcA5,False,221068.0,268089.0,56.0,243848.0,247757.0,y,47021.0,,,,,,,,,,,,,,,,
56,FCKcA5,False,221068.0,268089.0,57.0,247758.0,249253.0,n,47021.0,,,,,,,,,,,,,,,,
57,FCKcA5,False,221068.0,268089.0,58.0,249254.0,258773.0,y,47021.0,,,,,,,,,,,,,,,,
58,FCKcA5,False,221068.0,268089.0,59.0,258774.0,260405.0,n,47021.0,,,,,,,,,,,,,,,,
59,FCKcA5,False,221068.0,268089.0,60.0,260406.0,268089.0,y,47021.0,,,,,,,,,,,,,,,,
61,FCKcA5,False,271728.0,310045.0,62.0,271728.0,276691.0,y,38317.0,,,,,,,,,,,,,,,,
62,FCKcA5,False,271728.0,310045.0,63.0,276692.0,277677.0,n,38317.0,,,,,,,,,,,,,,,,
63,FCKcA5,False,271728.0,310045.0,64.0,277678.0,287095.0,y,38317.0,,,,,,,,,,,,,,,,
64,FCKcA5,False,271728.0,310045.0,65.0,287096.0,288795.0,n,38317.0,,,,,,,,,,,,,,,,
65,FCKcA5,False,271728.0,310045.0,66.0,288796.0,295731.0,y,38317.0,,,,,,,,,,,,,,,,
66,FCKcA5,False,271728.0,310045.0,67.0,295732.0,297431.0,n,38317.0,,,,,,,,,,,,,,,,
