,child_name,same_num_trials,annotator,manual_trial_onset,manual_trial_offset,manual_trial_ordinal,trial_length,lookit_onset,lookit_offset,lookit_trial_length,lookit_trial_length_diff,lookit_onset_diff,lookit_offset_diff
4,JYVEQP,False,AW,194854.0,229159.0,8.0,34305.0,195111.00000000003,226138.0,31026.99999999997,-3278.000000000029,257.0000000000291,-3021.0
5,JYVEQP,False,AW,229160.0,276487.0,9.0,47327.0,229584.0,274670.0,45086.0,-2241.0,424.0,-1817.0
6,JYVEQP,False,AW,280194.0,317220.0,11.0,37026.0,282991.00000000006,315446.0,32454.99999999994,-4571.000000000058,2797.000000000058,-1774.0
7,JYVEQP,False,AW,317221.0,369443.0,12.0,52222.0,320989.00000000006,366109.00000000006,45120.0,-7102.0,3768.000000000058,-3333.999999999942
8,JYVEQP,False,AW,393278.0,426393.0,14.0,33115.0,392863.0,422681.00000000006,29818.00000000006,-3296.999999999942,-415.0,-3711.999999999942
9,JYVEQP,False,AW,475966.0,515711.0,17.0,39745.0,425634.0,470708.0,45074.0,5329.0,-50332.0,-45003.0
10,JYVEQP,False,AW,515712.0,561561.0,18.0,45849.0,475908.0,513855.0,37947.0,-7902.0,-39804.0,-47706.0
0,UGRXDL,False,GS,5704.0,39432.0,0.0,33728.0,5937.0,38368.0,32431.0,-1297.0,233.0,-1064.0
1,UGRXDL,False,GS,40362.0,86482.0,1.0,46120.0,41285.00000000001,86316.0,45030.99999999999,-1089.0000000000073,923.0000000000073,-166.0
2,UGRXDL,False,GS,91016.0,122690.0,2.0,31674.0,91642.00000000001,122624.00000000001,30982.0,-692.0,626.0000000000146,-65.99999999998545
3,UGRXDL,False,GS,124372.0,171182.0,3.0,46810.0,125126.0,170157.0,45031.0,-1779.0,754.0,-1025.0
4,UGRXDL,False,GS,187860.0,226354.0,4.0,38494.0,188280.0,226198.0,37918.0,-576.0,420.0,-156.0
5,UGRXDL,False,GS,227726.0,274218.0,5.0,46492.0,229013.0,274047.0,45034.0,-1458.0,1287.0,-171.0
6,UGRXDL,False,GS,278876.0,309008.0,6.0,30132.0,279147.0,308937.0,29790.0,-342.0,271.0,-71.0
7,UGRXDL,False,GS,310744.0,342240.0,7.0,31496.0,311627.0,341020.00000000006,29393.00000000006,-2102.999999999942,883.0,-1219.9999999999418
8,UGRXDL,False,GS,350176.0,503130.0,8.0,152954.0,347199.0,363849.00000000006,16650.00000000006,-136303.99999999994,-2977.0,-139280.99999999994
0,6QVVRP,False,GS,5542.0,51340.0,0.0,45798.0,5742.0,50985.00000000001,45243.00000000001,-554.9999999999927,200.0,-354.9999999999927
1,6QVVRP,False,GS,55896.0,101932.0,1.0,46036.0,56312.00000000001,101505.00000000001,45193.00000000001,-842.9999999999927,416.0000000000073,-426.99999999998545
2,6QVVRP,False,GS,106488.0,152456.0,2.0,45968.0,106590.0,151707.00000000003,45117.00000000003,-850.9999999999709,102.0,-748.9999999999709
3,6QVVRP,False,GS,156502.0,202504.0,3.0,46002.0,156747.0,202045.00000000003,45298.00000000003,-703.9999999999709,245.0,-458.9999999999709
4,6QVVRP,False,GS,207026.0,252892.0,4.0,45866.0,207298.0,252517.00000000003,45219.00000000003,-646.9999999999709,272.0,-374.9999999999709
5,6QVVRP,False,GS,257346.0,303416.0,5.0,46070.0,257575.0,302650.00000000006,45075.00000000006,-994.9999999999418,229.0,-765.9999999999418
6,6QVVRP,False,GS,307734.0,353532.0,6.0,45798.0,307980.0,353199.0,45219.0,-579.0,246.0,-333.0
7,6QVVRP,False,GS,358054.0,381276.0,7.0,23222.0,358160.0,380651.0,22491.0,-731.0,106.0,-625.0
8,6QVVRP,False,GS,382670.0,423606.0,8.0,40936.0,383708.0,422749.0,39041.0,-1895.0,1038.0,-857.0
9,6QVVRP,False,GS,424456.0,445216.0,9.0,20760.0,425272.00000000006,444749.0,19476.99999999994,-1283.0000000000582,816.0000000000582,-467.0
10,6QVVRP,False,GS,446896.0,475286.0,10.0,28390.0,447019.0,459664.00000000006,12645.000000000058,-15744.999999999942,123.0,-15621.999999999942
0,GScUXA,True,AW,7656.0,41876.0,2.0,34220.0,9958.0,39928.00000000001,29970.000000000007,-4249.999999999993,2302.0,-1947.9999999999927
1,GScUXA,True,AW,41877.0,89759.0,3.0,47882.0,43803.00000000001,88847.00000000001,45044.00000000001,-2837.9999999999927,1926.0000000000073,-911.9999999999854
2,GScUXA,True,AW,93852.0,135590.0,5.0,41738.0,95888.0,133832.00000000003,37944.00000000003,-3793.999999999971,2036.0,-1757.999999999971
3,GScUXA,True,AW,135591.0,186284.0,6.0,50693.0,137340.0,182382.0,45042.0,-5651.0,1749.0,-3902.0
4,GScUXA,True,AW,195921.0,229613.0,8.0,33692.0,195918.0,228100.00000000003,32182.00000000003,-1509.999999999971,-3.0,-1512.999999999971
5,GScUXA,True,AW,229614.0,277892.0,9.0,48278.0,231998.00000000003,277030.00000000006,45032.00000000003,-3245.999999999971,2384.000000000029,-861.9999999999418
6,GScUXA,True,AW,282348.0,316860.0,11.0,34512.0,282650.00000000006,315103.0,32452.99999999994,-2059.000000000058,302.0000000000582,-1757.0
7,GScUXA,True,AW,316861.0,365673.0,12.0,48812.0,317693.00000000006,362753.00000000006,45060.0,-3752.0,832.0000000000582,-2919.999999999942
8,GScUXA,True,AW,381942.0,412598.0,14.0,30656.0,381870.0,411658.0,29788.0,-868.0,-72.0,-940.0
9,GScUXA,True,AW,412599.0,460052.0,15.0,47453.0,414038.0,459086.0,45048.0,-2405.0,1439.0,-966.0
10,GScUXA,True,AW,464409.0,503645.0,17.0,39236.0,464002.0,501942.0,37940.0,-1296.0,-407.0,-1703.0
11,GScUXA,True,AW,503646.0,549621.0,18.0,45975.0,504487.0,549524.0,45037.0,-938.0,841.0,-97.0
0,TGA6G7,True,AW,5000.0,37499.0,2.0,32499.0,5197.0,36267.0,31070.0,-1429.0,197.0,-1232.0
1,TGA6G7,True,AW,37500.0,84899.0,3.0,47399.0,38865.0,83933.0,45068.0,-2331.0,1365.0,-966.0
2,TGA6G7,True,AW,89000.0,120899.0,5.0,31899.0,89141.0,118976.00000000001,29835.000000000015,-2063.9999999999854,141.0,-1922.9999999999854
3,TGA6G7,True,AW,120900.0,174299.0,6.0,53399.0,121521.0,166653.00000000003,45132.00000000003,-8266.99999999997,621.0,-7645.999999999971
4,TGA6G7,True,AW,200500.0,234299.0,8.0,33799.0,200510.00000000003,233029.00000000003,32519.0,-1280.0,10.000000000029104,-1269.999999999971
5,TGA6G7,True,AW,234300.0,281799.0,9.0,47499.0,235492.00000000003,280582.0,45089.99999999997,-2409.000000000029,1192.000000000029,-1217.0
6,TGA6G7,True,AW,285600.0,325199.0,11.0,39599.0,285624.0,323605.0,37981.0,-1618.0,24.0,-1594.0
7,TGA6G7,True,AW,325200.0,373699.0,12.0,48499.0,325993.0,371133.00000000006,45140.00000000006,-3358.999999999942,793.0,-2565.999999999942
8,TGA6G7,True,AW,386900.0,419799.0,14.0,32899.0,387270.00000000006,418293.0,31022.99999999994,-1876.0000000000582,370.0000000000582,-1506.0
9,TGA6G7,True,AW,419800.0,467499.0,15.0,47699.0,420667.00000000006,465743.00000000006,45076.0,-2623.0,867.0000000000582,-1755.9999999999418
10,TGA6G7,True,AW,471300.0,502599.0,17.0,31299.0,470861.00000000006,500720.0,29858.99999999994,-1440.0000000000582,-438.9999999999418,-1879.0
11,TGA6G7,True,AW,502600.0,548178.0,18.0,45578.0,503088.0,548161.0,45073.0,-505.0,488.0,-17.0
0,7VNC4V,True,GS,5236.0,51952.0,0.0,46716.0,5735.0,50790.00000000001,45055.00000000001,-1660.9999999999927,499.0,-1161.9999999999927
1,7VNC4V,True,GS,55658.0,101626.0,1.0,45968.0,55653.00000000001,100714.00000000001,45061.00000000001,-906.9999999999927,-4.999999999992724,-911.9999999999854
2,7VNC4V,True,GS,105944.0,117728.0,2.0,11784.0,105686.0,117367.0,11681.0,-103.0,-258.0,-361.0
3,7VNC4V,True,GS,122332.0,168232.0,3.0,45900.0,122146.0,167203.0,45057.0,-843.0,-186.0,-1029.0
4,7VNC4V,True,GS,172414.0,213336.0,4.0,40922.0,172029.00000000003,213091.0,41061.99999999997,139.9999999999709,-384.9999999999709,-245.0
5,7VNC4V,True,GS,217872.0,258318.0,5.0,40446.0,217847.0,257585.00000000003,39738.00000000003,-707.9999999999709,-25.0,-732.9999999999709
6,7VNC4V,True,GS,262582.0,306476.0,6.0,43894.0,262398.0,305503.00000000006,43105.00000000006,-788.9999999999418,-184.0,-972.9999999999418
7,7VNC4V,True,GS,310590.0,351220.0,7.0,40630.0,310424.00000000006,350329.0,39904.99999999994,-725.0000000000582,-165.9999999999418,-891.0
8,7VNC4V,True,GS,352648.0,368050.0,8.0,15402.0,352725.0,367251.00000000006,14526.000000000058,-875.9999999999418,77.0,-798.9999999999418
9,7VNC4V,True,GS,369308.0,388586.0,9.0,19278.0,369429.00000000006,387919.00000000006,18490.0,-788.0,121.00000000005821,-666.9999999999418
10,7VNC4V,True,GS,390082.0,403090.0,10.0,13008.0,390023.0,402964.0,12941.0,-67.0,-59.0,-126.0
11,7VNC4V,True,GS,404668.0,415140.0,11.0,10472.0,405138.00000000006,413677.0,8538.999999999942,-1933.0000000000582,470.0000000000582,-1463.0
0,ECPAC2,True,AW,5810.0,36924.0,2.0,31114.0,5674.0,35499.0,29825.0,-1289.0,-136.0,-1425.0
1,ECPAC2,True,AW,36925.0,60966.0,3.0,24041.0,38432.0,63369.00000000001,24937.000000000007,896.0000000000073,1507.0,2403.0000000000073
2,ECPAC2,True,AW,84840.0,130059.0,5.0,45219.0,83630.00000000001,128663.00000000001,45033.0,-186.0,-1209.9999999999854,-1395.9999999999854
3,ECPAC2,True,AW,134995.0,173879.0,7.0,38884.0,134234.0,172194.00000000003,37960.00000000003,-923.9999999999709,-761.0,-1684.999999999971
4,ECPAC2,True,AW,173880.0,221759.0,8.0,47879.0,174844.00000000003,219868.00000000003,45024.0,-2855.0,964.0000000000291,-1890.999999999971
5,ECPAC2,True,AW,232050.0,265439.0,10.0,33389.0,232282.0,263305.0,31023.0,-2366.0,232.0,-2134.0
6,ECPAC2,True,AW,265440.0,312689.0,11.0,47249.0,266004.0,311034.0,45030.0,-2219.0,564.0,-1655.0
7,ECPAC2,True,AW,317065.0,351329.0,13.0,34264.0,316395.00000000006,348875.0,32479.99999999994,-1784.0000000000582,-669.9999999999418,-2454.0
8,ECPAC2,True,AW,351330.0,402394.0,14.0,51064.0,351708.0,396740.0,45032.0,-6032.0,378.0,-5654.0
0,NFYDcF,True,GS,3638.0,52632.0,0.0,48994.0,6146.000000000001,51195.0,45049.0,-3945.0,2508.000000000001,-1437.0
1,NFYDcF,True,GS,56372.0,98158.0,1.0,41786.0,55967.00000000001,96530.0,40562.99999999999,-1223.0000000000073,-404.9999999999927,-1628.0
2,NFYDcF,True,GS,102102.0,147764.0,2.0,45662.0,101446.00000000001,146526.0,45079.999999999985,-582.0000000000146,-655.9999999999854,-1238.0
3,NFYDcF,True,GS,151572.0,197642.0,3.0,46070.0,151269.0,196327.0,45058.0,-1012.0,-303.0,-1315.0
4,NFYDcF,True,GS,201620.0,239054.0,4.0,37434.0,201184.00000000003,237767.00000000003,36583.0,-851.0,-435.9999999999709,-1286.999999999971
5,NFYDcF,True,GS,242794.0,257346.0,5.0,14552.0,242497.0,255924.0,13427.0,-1125.0,-297.0,-1422.0
6,NFYDcF,True,GS,262990.0,280874.0,6.0,17884.0,260632.0,280008.00000000006,19376.00000000006,1492.0000000000582,-2358.0,-865.9999999999418
7,NFYDcF,True,GS,285396.0,306714.0,7.0,21318.0,284867.0,305674.00000000006,20807.00000000006,-510.9999999999418,-529.0,-1039.9999999999418
8,NFYDcF,True,GS,309434.0,338028.0,8.0,28594.0,308205.00000000006,336895.00000000006,28690.0,96.0,-1228.9999999999418,-1132.9999999999418
