,child,session,trial_num,trial_type,stim_type,confidence,iCatcher_on(s),iCatcher_off(s)
117,PG5HNX,,7,testA,barrier-jump,0.571661521991094,0.033,8.175
118,PG5HNX,,8,testB,barrier-jump,0.5398109303070948,0.217,5.056
119,PG5HNX,,9,testA,barrier-jump,0.8098603263789532,7.592,50.688
120,PG5HNX,,10,testB,barrier-jump,0.7575088667648809,2.653,27.126
121,QTWP3c,,1,fam,barrier-jump,0.8137303769233681,55.348,3.595
122,QTWP3c,,2,fam,barrier-jump,0.8010756551466264,35.3,21.578
123,QTWP3c,,3,fam,barrier-jump,0.6866735743300725,37.564,12.855
124,QTWP3c,,4,fam,barrier-jump,0.7353629914585303,20.848,1.266
125,QTWP3c,,5,fam,barrier-jump,0.7454615480516756,46.623,10.523
126,QTWP3c,,6,fam,barrier-jump,0.8183237689767959,33.503,7.526
127,QTWP3c,,7,testA,barrier-jump,0.8706900785610976,47.024,4.995
128,QTWP3c,,8,testB,barrier-jump,0.6512421837040022,18.582,6.992
129,QTWP3c,,9,testA,barrier-jump,0.749001165231069,6.195,1.199
130,QTWP3c,,10,testB,barrier-jump,0.7381330922807664,28.638,9.591
131,S4CKW4,,1,fam,barrier-jump,0.9621288874714644,58.478,1.279
132,S4CKW4,,2,fam,barrier-jump,0.9353519548677792,53.426,3.696
133,S4CKW4,,3,fam,barrier-jump,0.958447574575742,52.507,5.579
134,S4CKW4,,4,fam,barrier-jump,0.9433097722076093,46.595,8.994
135,S4CKW4,,5,fam,barrier-jump,0.9294490524615702,34.474,9.985
136,S4CKW4,,6,fam,barrier-jump-repeat-1,0.925208097128641,12.453,6.852
137,S4CKW4,,7,fam,barrier-jump,0.9542677068421918,14.893,6.604
138,S4CKW4,,8,testB,barrier-jump,0.9246919858617848,42.359,12.751
139,S4CKW4,,9,testA,barrier-jump,0.9064862440241144,41.49,15.645
140,S4CKW4,,10,testB,barrier-jump,0.9041085998489432,13.103,5.618
141,S4CKW4,,11,testA,barrier-jump,0.9426437472188196,12.021,13.788
142,UQLcRA,,1,fam,barrier-jump,0.9240720093663414,51.354,4.569
143,UQLcRA,,2,fam,barrier-jump,0.9050606707073692,43.183,4.33
144,UQLcRA,,3,fam,barrier-jump,0.9060870038812666,50.512,6.627
145,UQLcRA,,4,fam,barrier-jump,0.91522358995143,20.077,5.648
146,UQLcRA,,5,fam,barrier-jump,0.916559828195893,40.251,12.878
147,UQLcRA,,6,fam,barrier-jump,0.9070509751159024,5.538,4.191
148,UQLcRA,,7,testA,barrier-jump,0.9203774269703217,14.599,7.231
149,UQLcRA,,8,testB,barrier-jump,0.8633112993412362,15.378,18.488
150,UQLcRA,,9,testA,barrier-jump,0.8969871857041517,44.781,9.562
151,UQLcRA,,10,testB,barrier-jump,0.890416224461955,27.813,16.543
152,VRJRYC,,1,fam,barrier-jump,0.9188551296358524,19.029,6.234
153,VRJRYC,,2,fam,barrier-jump,0.9299380937336824,38.004,7.072
154,VRJRYC,,3,fam,barrier-jump,0.908970517300307,17.756,5.998
155,VRJRYC,,4,fam,barrier-jump,0.9035572504455393,8.863,5.264
156,VRJRYC,,5,fam,barrier-jump,0.8977550344099412,19.163,10.176
157,VRJRYC,,6,fam,barrier-jump,0.8993978585850279,16.889,11.351
158,VRJRYC,,7,testB,barrier-jump,0.91102069001948,18.21,6.453
159,VRJRYC,,8,testA,barrier-jump,0.9029627937086956,23.444,4.145
160,VRJRYC,,9,testB,barrier-jump,0.9460467261783148,5.924,4.063
